17.3912012,78.3682177,17.3912615,78.3681719,.2125,.1283,.1807,2,Bumpy,13:27:57,0,0,1,1,1,
17.3912615,78.3681719,17.3914982,78.368191,.1286,.2199,.211,7.25,SlightyBumpy,13:28:02,0,0,1,1,0,
17.3914982,78.368191,17.3919095,78.3682111,.0461,.0936,.081,8.5,Good,13:28:07,0,0,0,0,0,
17.3919095,78.3682111,17.3920394,78.3681034,.1357,.2006,.2098,5,SlightyBumpy,13:28:12,0,0,0,1,0,
17.3920394,78.3681034,17.3920906,78.367794,.1082,.0495,.1114,8.75,Good,13:28:17,0,0,0,0,0,
17.3920906,78.367794,17.3921373,78.3673415,.1179,.0231,.1398,10.5,Good,13:28:22,0,0,0,0,0,
17.3921373,78.3673415,17.392196,78.3669247,.1863,.3136,.3853,6.75,SlightyBumpy,13:28:27,0,0,2,1,0,
17.392196,78.3669247,17.392184,78.3668286,.1964,.0958,.1123,1.5,Bumpy,13:28:32,0,0,0,0,0,0,
17.392184,78.3668286,17.3920813,78.366802,.0708,.0496,.0339,3.25,Good,13:28:37,0,0,0,0,0,
17.3920813,78.366802,17.3920352,78.3668405,.0664,.1195,.0749,1,Bumpy,13:28:42,0,0,0,0,0,
17.3920352,78.3668405,17.3920352,78.3668405,.0312,.0349,.0197,1,SlightyBumpy,13:28:47,0,0,0,0,0,
